id	tc_text	en_text	status
300	光反差係數	Gamma	different
301	解析度	Resolution	different
302	模型細節	Model Detail	different
303	材質細節	Texture Detail	different
304	地形細節	Terrain Detail	different
306	世界事件	World Events	different
307	陰影	Shadows	different
308	光源強度	Lights	different
309	FX 細節	FX Detail	different
310	決定版視角	Definitive Edition Camera	different
311	部隊遮蔽	Unit Occlusion	different
312	保留屍體	Persistent Bodies	different
313	保留彈坑	Persistent Scarring	different
350	調整光反差係數等級。	Adjust gamma level.	different
351	調整螢幕解析度和色彩濃度。較高階的設定需要有更高階的顯示卡。	Adjust screen resolution and colour depth. Increased settings require a faster video card.	different
352	調整模型細節。較高階的設定需要有更高階的電腦中央處理器。	Adjust model detail. Increased settings require a faster CPU.	different
353	調整材質細節。較高階的設定需要有更多的主記憶體與顯示卡記憶體。	Adjust texture detail. Increased settings require more main memory and more video card memory.	different
354	調整地形細節。較高階的設定需要有更高階的電腦中央處理器。	Adjust terrain detail and Fog of War blending. Increased settings require a faster CPU.	different
356	調整世界事件產生數值。較高階的設定需要有更高階的電腦中央處理器。	Adjust the number of world events spawned. Increased settings require a faster CPU.	different
357	調整陰影細節。較高階的設定會需要較快的GPU。	Adjust shadow detail. Increased settings require a faster GPU.	different
358	調整光源強弱度數值。較高階的設定需要有 HW 處理轉換與顯示卡與更高階的電腦中央處理器。	Adjust the number of dynamic lights. Increased settings require a HW TnL video card or faster CPU.	different
359	調整FX品質。設定成較低則會隱藏氛圍降雨和雪花。	Adjust the FX quality. Setting to low hides atmospheric rain and snow.	different
360	啟用較高視角以獲得更好的戰場視野。關閉即可恢復傳統視角高度。	Enable higher camera for better view of the battlefield. Turn off for legacy camera height.	different
361	決定是否繪製位於建築物後方的部隊。	Turn rendering units behind structures on or off.	different
362	設定遊戲中戰場上的屍體數量。	Sets the number of persistent corpses that remain in the world after battles.	different
363	設定遊戲中戰場上的彈坑數量。	Sets the amount of permanent scarring left on the terrain after battles.	different
401	隨機音效	Randomize Sounds	different
402	音質	Sound Quality	different
403	音效頻道	Sound Channels	different
404	環境音量	Ambient Volume	different
405	特效音量	Effects Volume	different
406	音樂音量	Music Volume	different
407	語音音量	Voice Volume	different
451	開啟或關閉隨機音效。較高階的設定需要有更多記憶體。	Turn random sounds on or off. Increased settings require more memory.	different
452	調整音質。較高階的設定需要有更高階的 CPU。	Adjust sound quality. Increased settings require a faster CPU.	different
